customer_id,pdays,previous,poutcome
1,-1,0,unknown
2,-1,0,unknown
3,-1,0,unknown
4,-1,0,unknown
5,149,3,failure
6,105,1,success
7,-1,0,unknown
8,-1,0,unknown
9,2,1,other
10,-1,0,unknown
11,-1,0,unknown
12,121,2,success
13,242,1,success
14,-1,0,unknown
15,-1,0,unknown
16,-1,0,unknown
17,-1,0,unknown
18,174,4,failure
19,-1,0,unknown
20,-1,0,unknown
21,-1,0,unknown
22,-1,0,unknown
23,189,2,failure
24,-1,0,unknown
25,-1,0,unknown
26,186,3,other
27,-1,0,unknown
28,-1,0,unknown
29,-1,0,unknown
30,-1,0,unknown
31,-1,0,unknown
32,-1,0,unknown
33,347,3,failure
34,-1,0,unknown
35,-1,0,unknown
36,-1,0,unknown
37,91,1,success
38,-1,0,unknown
39,-1,0,unknown
40,96,9,other
41,-1,0,unknown
42,-1,0,unknown
43,-1,0,unknown
44,188,3,success
45,-1,0,unknown
46,-1,0,unknown
47,165,5,other
48,-1,0,unknown
49,-1,0,unknown
50,-1,0,unknown
51,265,13,success
52,110,2,failure
53,87,3,success
54,-1,0,unknown
55,-1,0,unknown
56,-1,0,unknown
57,-1,0,unknown
58,-1,0,unknown
59,-1,0,unknown
60,-1,0,unknown
61,-1,0,unknown
62,-1,0,unknown
63,-1,0,unknown
64,-1,0,unknown
65,-1,0,unknown
66,-1,0,unknown
67,-1,0,unknown
68,-1,0,unknown
69,-1,0,unknown
70,463,1,success
71,-1,0,unknown
72,-1,0,unknown
73,-1,0,unknown
74,-1,0,unknown
75,-1,0,unknown
76,-1,0,unknown
77,183,2,success
78,-1,0,unknown
79,-1,0,unknown
80,-1,0,unknown
81,-1,0,unknown
82,-1,0,unknown
83,-1,0,unknown
84,197,3,failure
85,181,2,success
86,-1,0,unknown
87,-1,0,unknown
88,-1,0,unknown
89,-1,0,unknown
90,-1,0,unknown
91,-1,0,unknown
92,-1,0,unknown
93,136,4,failure
94,-1,0,unknown
95,242,2,failure
96,-1,0,unknown
97,-1,0,unknown
98,-1,0,unknown
99,-1,0,unknown
100,-1,0,unknown
101,-1,0,unknown
102,-1,0,unknown
103,-1,0,unknown
104,-1,0,unknown
105,-1,0,unknown
106,-1,0,unknown
107,-1,0,unknown
108,-1,0,unknown
109,364,2,failure
110,-1,0,unknown
111,-1,0,unknown
112,-1,0,unknown
113,-1,0,unknown
114,-1,0,unknown
115,91,2,success
116,-1,0,unknown
117,-1,0,unknown
118,-1,0,unknown
119,-1,0,unknown
120,175,12,other
121,-1,0,unknown
122,-1,0,unknown
123,-1,0,unknown
124,474,3,failure
125,-1,0,unknown
126,-1,0,unknown
127,-1,0,unknown
128,-1,0,unknown
129,-1,0,unknown
130,-1,0,unknown
131,-1,0,unknown
132,-1,0,unknown
133,-1,0,unknown
134,-1,0,unknown
135,-1,0,unknown
136,-1,0,unknown
137,-1,0,unknown
138,-1,0,unknown
139,-1,0,unknown
140,-1,0,unknown
141,-1,0,unknown
142,148,1,failure
143,-1,0,unknown
144,-1,0,unknown
145,199,2,failure
146,-1,0,unknown
147,-1,0,unknown
148,91,7,failure
149,-1,0,unknown
150,-1,0,unknown
151,-1,0,unknown
152,-1,0,unknown
153,-1,0,unknown
154,-1,0,unknown
155,-1,0,unknown
156,-1,0,unknown
157,-1,0,unknown
158,-1,0,unknown
159,-1,0,unknown
160,-1,0,unknown
161,-1,0,unknown
162,267,1,other
163,91,8,failure
164,-1,0,unknown
165,-1,0,unknown
166,-1,0,unknown
167,-1,0,unknown
168,-1,0,unknown
169,303,1,failure
170,-1,0,unknown
171,-1,0,unknown
172,96,3,success
173,-1,0,unknown
174,-1,0,unknown
175,-1,0,unknown
176,-1,0,unknown
177,344,2,failure
178,-1,0,unknown
179,211,3,other
180,-1,0,unknown
181,-1,0,unknown
182,-1,0,unknown
183,100,5,other
184,-1,0,unknown
185,361,4,failure
186,-1,0,unknown
187,-1,0,unknown
188,-1,0,unknown
189,-1,0,unknown
190,-1,0,unknown
191,-1,0,unknown
192,-1,0,unknown
193,-1,0,unknown
